scenario,quarter_index,quarter,kpi_order,pillar,subpillar,kpi,kpi_score_p10,kpi_score_median,kpi_score_p90
rec1_only,6,2027Q2,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
rec1_only,6,2027Q2,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
rec1_only,6,2027Q2,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
rec1_only,6,2027Q2,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
rec1_only,6,2027Q2,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
rec1_only,6,2027Q2,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
rec1_only,6,2027Q2,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,14.88,14.88,15.031158377707104
rec1_only,6,2027Q2,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
rec1_only,6,2027Q2,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.0
rec1_only,6,2027Q2,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
rec1_only,7,2027Q3,1,Implementation,Talent,Tortoise Talent Score,31.99284131173121,32.552264625981486,33.01350286270498
rec1_only,7,2027Q3,2,Implementation,Talent,Relative AI Skill Penetration,39.30775306603435,39.3832138234165,39.749517398621485
rec1_only,7,2027Q3,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.89874279072471,74.02098591529415,74.1627759967962
rec1_only,7,2027Q3,4,Implementation,Talent,AI Talent Concentration,35.99737441666982,36.32225173655575,36.579201760851504
rec1_only,7,2027Q3,5,Implementation,Talent,AI Job Postings (% of Total),27.63,27.63,28.27129945075184
rec1_only,7,2027Q3,6,Implementation,Talent,Net Migration Flow of AI Skills,49.67962611461059,50.226424014356056,50.671166791699285
rec1_only,7,2027Q3,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
rec1_only,7,2027Q3,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
rec1_only,7,2027Q3,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
rec1_only,7,2027Q3,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
rec1_only,7,2027Q3,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
rec1_only,7,2027Q3,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
rec1_only,7,2027Q3,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
rec1_only,7,2027Q3,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
rec1_only,7,2027Q3,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
rec1_only,7,2027Q3,16,Innovation,Research,Tortoise Research Score,30.7947945399636,30.823715678637825,30.96938806314192
rec1_only,7,2027Q3,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
rec1_only,7,2027Q3,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
rec1_only,7,2027Q3,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
rec1_only,7,2027Q3,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
rec1_only,7,2027Q3,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
rec1_only,7,2027Q3,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
rec1_only,7,2027Q3,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,15.004476519418223,15.033979478008018,15.179804768938325
rec1_only,7,2027Q3,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
rec1_only,7,2027Q3,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.0
rec1_only,7,2027Q3,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
rec1_only,8,2027Q4,1,Implementation,Talent,Tortoise Talent Score,32.68996397246406,33.21898981237224,33.73983054944151
rec1_only,8,2027Q4,2,Implementation,Talent,Relative AI Skill Penetration,39.62022563477403,39.76989312442322,40.14270926670048
rec1_only,8,2027Q4,3,Implementation,Talent,AI Hiring Rate YoY Ratio,74.05983382673944,74.17766192798807,74.44044591076614
rec1_only,8,2027Q4,4,Implementation,Talent,AI Talent Concentration,36.40054362090568,36.705875100858464,36.988646854803676
rec1_only,8,2027Q4,5,Implementation,Talent,AI Job Postings (% of Total),27.63,27.948103940754716,28.60253179955166
rec1_only,8,2027Q4,6,Implementation,Talent,Net Migration Flow of AI Skills,50.36709692966798,50.88123657996073,51.36652019012926
rec1_only,8,2027Q4,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
rec1_only,8,2027Q4,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
rec1_only,8,2027Q4,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
rec1_only,8,2027Q4,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
rec1_only,8,2027Q4,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
rec1_only,8,2027Q4,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
rec1_only,8,2027Q4,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
rec1_only,8,2027Q4,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
rec1_only,8,2027Q4,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
rec1_only,8,2027Q4,16,Innovation,Research,Tortoise Research Score,30.91751521408259,30.974876872954454,31.124377207618373
rec1_only,8,2027Q4,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
rec1_only,8,2027Q4,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
rec1_only,8,2027Q4,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
rec1_only,8,2027Q4,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
rec1_only,8,2027Q4,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
rec1_only,8,2027Q4,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
rec1_only,8,2027Q4,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,15.126884457934171,15.185400087813118,15.33500963636046
rec1_only,8,2027Q4,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
rec1_only,8,2027Q4,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.0
rec1_only,8,2027Q4,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
rec1_only,9,2028Q1,1,Implementation,Talent,Tortoise Talent Score,33.316463752363994,33.9081614595313,34.48856756462138
rec1_only,9,2028Q1,2,Implementation,Talent,Relative AI Skill Penetration,39.94648490822559,40.16961738700236,40.55046170597046
rec1_only,9,2028Q1,3,Implementation,Talent,AI Hiring Rate YoY Ratio,74.20371355793864,74.34602757733518,74.98945802991918
rec1_only,9,2028Q1,4,Implementation,Talent,AI Talent Concentration,36.75421964740998,37.09419060319202,37.404908088392006
rec1_only,9,2028Q1,5,Implementation,Talent,AI Job Postings (% of Total),27.63,28.25978290160237,28.950023505159297
rec1_only,9,2028Q1,6,Implementation,Talent,Net Migration Flow of AI Skills,50.97674218109923,51.54849786826638,52.06681621391357
rec1_only,9,2028Q1,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
rec1_only,9,2028Q1,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
rec1_only,9,2028Q1,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
rec1_only,9,2028Q1,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
rec1_only,9,2028Q1,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
rec1_only,9,2028Q1,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
rec1_only,9,2028Q1,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
rec1_only,9,2028Q1,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
rec1_only,9,2028Q1,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
rec1_only,9,2028Q1,16,Innovation,Research,Tortoise Research Score,31.045650487322867,31.130849739061652,31.28510586670637
rec1_only,9,2028Q1,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
rec1_only,9,2028Q1,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
rec1_only,9,2028Q1,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
rec1_only,9,2028Q1,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
rec1_only,9,2028Q1,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
rec1_only,9,2028Q1,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
rec1_only,9,2028Q1,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,15.254693197261265,15.341755418177478,15.495962006985875
rec1_only,9,2028Q1,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
rec1_only,9,2028Q1,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.0
rec1_only,9,2028Q1,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
rec1_only,10,2028Q2,1,Implementation,Talent,Tortoise Talent Score,33.80592078835539,34.387590784319116,35.06874686157732
rec1_only,10,2028Q2,2,Implementation,Talent,Relative AI Skill Penetration,40.28434838553892,40.56007425612114,40.86874834328803
rec1_only,10,2028Q2,3,Implementation,Talent,AI Hiring Rate YoY Ratio,74.31825869733508,74.47496323224328,75.6275653148237
rec1_only,10,2028Q2,4,Implementation,Talent,AI Talent Concentration,37.036375426416406,37.35584209233966,37.68337409426887
rec1_only,10,2028Q2,5,Implementation,Talent,AI Job Postings (% of Total),27.63,28.58506693153122,29.35657577090292
rec1_only,10,2028Q2,6,Implementation,Talent,Net Migration Flow of AI Skills,51.451826362918354,51.9933911850413,52.54831523626847
rec1_only,10,2028Q2,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
rec1_only,10,2028Q2,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
rec1_only,10,2028Q2,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
rec1_only,10,2028Q2,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
rec1_only,10,2028Q2,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
rec1_only,10,2028Q2,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
rec1_only,10,2028Q2,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
rec1_only,10,2028Q2,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
rec1_only,10,2028Q2,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
rec1_only,10,2028Q2,16,Innovation,Research,Tortoise Research Score,31.17839699282975,31.28424012703666,31.40900609706231
rec1_only,10,2028Q2,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
rec1_only,10,2028Q2,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
rec1_only,10,2028Q2,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
rec1_only,10,2028Q2,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
rec1_only,10,2028Q2,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
rec1_only,10,2028Q2,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
rec1_only,10,2028Q2,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,15.386645128258206,15.49440989652808,15.617345779099685
rec1_only,10,2028Q2,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
rec1_only,10,2028Q2,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.0
rec1_only,10,2028Q2,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
rec1_only,11,2028Q3,1,Implementation,Talent,Tortoise Talent Score,34.083103448812615,34.70097163159869,35.54008857324887
rec1_only,11,2028Q3,2,Implementation,Talent,Relative AI Skill Penetration,40.50040117516809,40.809036859423415,41.12678866803398
rec1_only,11,2028Q3,3,Implementation,Talent,AI Hiring Rate YoY Ratio,74.38834009643514,74.59061940245354,76.2797690742258
rec1_only,11,2028Q3,4,Implementation,Talent,AI Talent Concentration,37.18900341104409,37.51031971329083,37.84203219092285
rec1_only,11,2028Q3,5,Implementation,Talent,AI Job Postings (% of Total),27.935605774147646,28.931438074386577,29.75358925435016
rec1_only,11,2028Q3,6,Implementation,Talent,Net Migration Flow of AI Skills,51.70349545423377,52.253730127715514,52.81600712949177
rec1_only,11,2028Q3,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
rec1_only,11,2028Q3,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
rec1_only,11,2028Q3,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
rec1_only,11,2028Q3,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
rec1_only,11,2028Q3,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
rec1_only,11,2028Q3,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
rec1_only,11,2028Q3,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
rec1_only,11,2028Q3,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
rec1_only,11,2028Q3,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
rec1_only,11,2028Q3,16,Innovation,Research,Tortoise Research Score,31.2635941843644,31.381431467957277,31.508459280940993
rec1_only,11,2028Q3,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
rec1_only,11,2028Q3,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
rec1_only,11,2028Q3,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
rec1_only,11,2028Q3,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
rec1_only,11,2028Q3,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
rec1_only,11,2028Q3,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
rec1_only,11,2028Q3,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,15.471214582913701,15.590356120823532,15.713905863649781
rec1_only,11,2028Q3,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
rec1_only,11,2028Q3,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.0
rec1_only,11,2028Q3,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
rec1_only,12,2028Q4,1,Implementation,Talent,Tortoise Talent Score,34.24851791857382,34.93260815755278,36.04771423943031
rec1_only,12,2028Q4,2,Implementation,Talent,Relative AI Skill Penetration,40.61587357006075,40.94445299634634,41.27638679396989
rec1_only,12,2028Q4,3,Implementation,Talent,AI Hiring Rate YoY Ratio,74.43801526349925,74.92333820694479,77.00269492495514
rec1_only,12,2028Q4,4,Implementation,Talent,AI Talent Concentration,37.2630405807152,37.59649905937157,37.936713326812246
rec1_only,12,2028Q4,5,Implementation,Talent,AI Job Postings (% of Total),28.235039003077134,29.316769874436595,30.0960016216425
rec1_only,12,2028Q4,6,Implementation,Talent,Net Migration Flow of AI Skills,51.83587165347234,52.40110325167713,52.97179164923408
rec1_only,12,2028Q4,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
rec1_only,12,2028Q4,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
rec1_only,12,2028Q4,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
rec1_only,12,2028Q4,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
rec1_only,12,2028Q4,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
rec1_only,12,2028Q4,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
rec1_only,12,2028Q4,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
rec1_only,12,2028Q4,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
rec1_only,12,2028Q4,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
rec1_only,12,2028Q4,16,Innovation,Research,Tortoise Research Score,31.307901124919937,31.434521426467413,31.565982496731895
rec1_only,12,2028Q4,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
rec1_only,12,2028Q4,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
rec1_only,12,2028Q4,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
rec1_only,12,2028Q4,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
rec1_only,12,2028Q4,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
rec1_only,12,2028Q4,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
rec1_only,12,2028Q4,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,15.516703902268615,15.642711383317252,15.772354030527211
rec1_only,12,2028Q4,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
rec1_only,12,2028Q4,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.0
rec1_only,12,2028Q4,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
rec1_only,13,2029Q1,1,Implementation,Talent,Tortoise Talent Score,34.350514480227254,35.11579103353989,36.50043788459008
rec1_only,13,2029Q1,2,Implementation,Talent,Relative AI Skill Penetration,40.6768347356168,41.0167071331943,41.35645022996542
rec1_only,13,2029Q1,3,Implementation,Talent,AI Hiring Rate YoY Ratio,74.4819345442217,75.42797795113312,77.77844166286013
rec1_only,13,2029Q1,4,Implementation,Talent,AI Talent Concentration,37.297414574129924,37.63560363078858,37.97634026030378
rec1_only,13,2029Q1,5,Implementation,Talent,AI Job Postings (% of Total),28.54754276379264,29.66680414319736,30.388930478638073
rec1_only,13,2029Q1,6,Implementation,Talent,Net Migration Flow of AI Skills,51.8913667224121,52.465408856119815,53.046175168689224
rec1_only,13,2029Q1,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
rec1_only,13,2029Q1,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
rec1_only,13,2029Q1,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
rec1_only,13,2029Q1,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
rec1_only,13,2029Q1,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
rec1_only,13,2029Q1,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
rec1_only,13,2029Q1,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
rec1_only,13,2029Q1,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
rec1_only,13,2029Q1,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
rec1_only,13,2029Q1,16,Innovation,Research,Tortoise Research Score,31.333599634729232,31.46272947002013,31.59731365280954
rec1_only,13,2029Q1,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
rec1_only,13,2029Q1,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
rec1_only,13,2029Q1,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
rec1_only,13,2029Q1,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
rec1_only,13,2029Q1,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
rec1_only,13,2029Q1,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
rec1_only,13,2029Q1,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,15.540628305807518,15.67113374859148,15.804512852139595
rec1_only,13,2029Q1,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
rec1_only,13,2029Q1,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.0
rec1_only,13,2029Q1,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
rec1_only,14,2029Q2,1,Implementation,Talent,Tortoise Talent Score,34.42263826209128,35.29734304198058,36.8690419489533
rec1_only,14,2029Q2,2,Implementation,Talent,Relative AI Skill Penetration,40.69986430839785,41.04515747302733,41.387049861588615
rec1_only,14,2029Q2,3,Implementation,Talent,AI Hiring Rate YoY Ratio,74.53041421788963,76.02512618933316,78.62801292319439
rec1_only,14,2029Q2,4,Implementation,Talent,AI Talent Concentration,37.3022603335923,37.64093244492085,37.9829330443062
rec1_only,14,2029Q2,5,Implementation,Talent,AI Job Postings (% of Total),28.903602110729654,29.959674555202916,30.633013604823894
rec1_only,14,2029Q2,6,Implementation,Talent,Net Migration Flow of AI Skills,51.89925939644098,52.474237740977436,53.057923861201466
rec1_only,14,2029Q2,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
rec1_only,14,2029Q2,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
rec1_only,14,2029Q2,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
rec1_only,14,2029Q2,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
rec1_only,14,2029Q2,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
rec1_only,14,2029Q2,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
rec1_only,14,2029Q2,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
rec1_only,14,2029Q2,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
rec1_only,14,2029Q2,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
rec1_only,14,2029Q2,16,Innovation,Research,Tortoise Research Score,31.343340744927062,31.473141930939466,31.609173964917222
rec1_only,14,2029Q2,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
rec1_only,14,2029Q2,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
rec1_only,14,2029Q2,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
rec1_only,14,2029Q2,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
rec1_only,14,2029Q2,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
rec1_only,14,2029Q2,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
rec1_only,14,2029Q2,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,15.550114287394257,15.681878916825589,15.818698511566298
rec1_only,14,2029Q2,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
rec1_only,14,2029Q2,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.0
rec1_only,14,2029Q2,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
rec1_only,15,2029Q3,1,Implementation,Talent,Tortoise Talent Score,34.52482724925303,35.56050582795791,37.21469844721963
rec1_only,15,2029Q3,2,Implementation,Talent,Relative AI Skill Penetration,40.69986430839785,41.04515747302733,41.387049861588615
rec1_only,15,2029Q3,3,Implementation,Talent,AI Hiring Rate YoY Ratio,74.65649020790661,76.69616206887204,79.40438775368563
rec1_only,15,2029Q3,4,Implementation,Talent,AI Talent Concentration,37.30429794999531,37.644812905449214,37.98744798494604
rec1_only,15,2029Q3,5,Implementation,Talent,AI Job Postings (% of Total),29.28559172267377,30.202471329563977,30.80903881665548
rec1_only,15,2029Q3,6,Implementation,Talent,Net Migration Flow of AI Skills,51.9091613631775,52.490208727987294,53.08227319261568
rec1_only,15,2029Q3,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
rec1_only,15,2029Q3,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
rec1_only,15,2029Q3,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
rec1_only,15,2029Q3,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
rec1_only,15,2029Q3,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
rec1_only,15,2029Q3,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
rec1_only,15,2029Q3,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
rec1_only,15,2029Q3,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
rec1_only,15,2029Q3,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
rec1_only,15,2029Q3,16,Innovation,Research,Tortoise Research Score,31.343340744927062,31.473141930939466,31.609173964917222
rec1_only,15,2029Q3,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
rec1_only,15,2029Q3,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
rec1_only,15,2029Q3,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
rec1_only,15,2029Q3,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
rec1_only,15,2029Q3,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
rec1_only,15,2029Q3,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
rec1_only,15,2029Q3,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,15.55340834191329,15.689221964584355,15.833401337368299
rec1_only,15,2029Q3,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
rec1_only,15,2029Q3,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.0
rec1_only,15,2029Q3,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
rec1_only,16,2029Q4,1,Implementation,Talent,Tortoise Talent Score,34.66624686971121,35.94126735773494,37.538602910900856
rec1_only,16,2029Q4,2,Implementation,Talent,Relative AI Skill Penetration,40.69986430839785,41.04515747302733,41.387049861588615
rec1_only,16,2029Q4,3,Implementation,Talent,AI Hiring Rate YoY Ratio,75.15216039142621,77.45715945543054,80.20049773882428
rec1_only,16,2029Q4,4,Implementation,Talent,AI Talent Concentration,37.31155227696472,37.65790489303553,38.00474103928361
rec1_only,16,2029Q4,5,Implementation,Talent,AI Job Postings (% of Total),29.63970330400034,30.39280588942906,30.934004079667844
rec1_only,16,2029Q4,6,Implementation,Talent,Net Migration Flow of AI Skills,51.9417539808095,52.52702481624659,53.14865264700864
rec1_only,16,2029Q4,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
rec1_only,16,2029Q4,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
rec1_only,16,2029Q4,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
rec1_only,16,2029Q4,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
rec1_only,16,2029Q4,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
rec1_only,16,2029Q4,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
rec1_only,16,2029Q4,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
rec1_only,16,2029Q4,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
rec1_only,16,2029Q4,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
